Tipo de Producto;Producto;Código Barras;SKU;Stock;Costo Neto Prom. Unitario;Costo Neto Prom. Total;Cantidad por Despachar;Cantidad Disponible;Por Recibir;Marca;Lista de Precios;Precio Venta Bruto;Margen Unitario
PROTECCIÓN CABEZA;ADAPTADOR - PARA CASCO UNIDAD;7809808041597;7809808041597;40;1010;40400;0;40;0;;CLIENTE LOCAL ARCAM VIGENTE;3010;1519,41
ABARROTES COMESTIBLE;AGUA - BOLLENES ENVASE VACIO;1694208417693;1694208417693;173;1746,97;302226;0;173;0;;CLIENTE LOCAL ARCAM VIGENTE;3500;1194,21
ABARROTES COMESTIBLE;AGUA - BOLLENES RECARGA  20 LITROS;1694208342857;1694208342857;29;1261;36569;0;29;0;;CLIENTE LOCAL ARCAM VIGENTE;2000;419,67
ABARROTES COMESTIBLE;AGUA - BOLLENES RECARGA 12 LTS;1713995510757;1713995510757;27;832;22464;0;27;0;;CLIENTE LOCAL ARCAM VIGENTE;1290;252,03
ABARROTES COMESTIBLE;AGUA - SOPORTE BASICO;1662156889690;1662156889690;31;4323;134013;0;31;0;;CLIENTE LOCAL ARCAM VIGENTE;7900;2315,66
EQUIPO E INSTRUMENTOS ;ALARMA SUEÑO;1569344803317;1569344803317;4;1590;6360;0;4;0;;CLIENTE LOCAL ARCAM VIGENTE;4500;2191,51
PROTECCIÓN DERMICA;ALCOHOL ETILICO DESNAT. - 70% 1 LITRO;1534520178873;1534520178873;12;2425;29100;0;12;0;;CLIENTE LOCAL ARCAM VIGENTE;6430;2978,36
PROTECCIÓN DERMICA;ALCOHOL ETILICO DESNAT. - 70% ECOSAFE 1 LITRO ISP;7804653700293;7804653700293;1;1868;1868;0;1;0;;CLIENTE LOCAL ARCAM VIGENTE;5950;3132
PROTECCIÓN DERMICA;ALCOHOL ETILICO DESNAT. - 70% ECOSAFE 5 LITROS ISP;1627940809676;1627940809676;3;7510;22530;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;23900;12574,03
PROTECCIÓN DERMICA;ALCOHOL ETILICO DESNAT. - 70% SPRAY 500 ML DESINF. MANOS;1661364278917;1661364278917;33;1568;51744;0;33;0;;CLIENTE LOCAL ARCAM VIGENTE;3790;1616,87
PROTECCIÓN DERMICA;ALCOHOL GEL - 250 ML (70%);1611331084675;1611331084675;35;500;17500;0;35;0;;CLIENTE LOCAL ARCAM VIGENTE;2290;1424,37
PROTECCIÓN DERMICA;ALCOHOL GEL - 60 ML (70%);1611330975427;1611330975427;51;450;22950;0;51;0;;CLIENTE LOCAL ARCAM VIGENTE;1790;1054,20
PROTECCIÓN DERMICA;ALCOHOL GEL - ECOSAFE 5000 ML;7804653700286;7804653700286;13;8192;106496;0;13;0;;CLIENTE LOCAL ARCAM VIGENTE;18000;6934,05
PROTECCIÓN DERMICA;ALCOHOL GEL - WINKLER 5 LITROS;7804632080712;7804632080712;6;8890;53340;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;21200;8925,13
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA GATO - BALANCEADO FULL NUTRITION 7,5 KG;1751483331381;1751483331381;2;19328;38656;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;30900;6638,39
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA GATO - POEMA URINARY 7 KILOS;1747429608625;1747429608625;5;31869;159345;0;5;0;;CLIENTE LOCAL ARCAM VIGENTE;54200;13677,22
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - AGILITY ADULTO RAZA PEQUEÑA 3 KILOS;1724947218238;1724947218238;4;7600;30400;0;4;0;;CLIENTE LOCAL ARCAM VIGENTE;11400;1979,83
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - AGILITY ADULTO RAZAS MEDIANAS Y GRANDES 15 KILOS;1739480214525;1739480214524;6;29562;177372;0;6;0;;CLIENTE LOCAL ARCAM VIGENTE;46900;9849,76
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - AGILITY CACHORRO 15 KILOS;1739480153148;1739480153148;2;30221;60442;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;44990;7585,72
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - AGILITY CACHORRO 3 KILOS;1724947231124;1724947231124;2;7600;15200;0;2;0;;CLIENTE LOCAL ARCAM VIGENTE;11400;1979,83
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - BALANCEADO FULL NUTRITION 20 KG;1731609303137;1731609303137;3;23446;70338;0;3;0;;CLIENTE LOCAL ARCAM VIGENTE;35800;6638,03
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - CACHORRO BALANCEADO FULL NUTRITION 15 KILOS;1751483237949;1751483237949;13;25127;326651;0;13;0;;CLIENTE LOCAL ARCAM VIGENTE;39900;8402,41
ALIEMENTOS DE MASCOTAS;ALIMENTO PARA PERRO - POEMA PERRO ADULTO 20  KILOS;1724947173055;1724947173055;9;47973;431757;0;9;0;;CLIENTE LOCAL ARCAM VIGENTE;71360;11993,39
