ID,Nombre de Categoria,Ruta Completa,Productos Asociados
248,Abrasivos,FERRETERÍA > Abrasivos,190
258,Accesorios,Electricidad > Accesorios,25
253,Accesorios,Baño > Accesorios,10
132,Accesorios de Calzado,Accesorios de Calzado,31
138,Accesorios de Vestuario,Accesorios de Vestuario,223
215,Accesorios para Herramientas,FERRETERÍA > Accesorios para Herramientas,455
158,Adhesivos y Selladores,Adhesivos y Selladores,125
239,Aislación,Construcción > Aislación,12
219,Alimento,Mascotas > Alimento,11
120,Anclajes y Tarugos,Anclajes y Tarugos,32
271,Anticorte,EPP > Protección de Manos > Anticorte,5
252,Baño,Baño,10
167,Baño e Higiene,Baño e Higiene,12
211,Baño y Cocina,Gasfitería > Baño y Cocina,64
254,Basureros y Bolsas,Limpieza > Basureros y Bolsas,24
202,Bolsas y Empaques,Bolsas y Empaques,11
186,Bolsos y Mochilas,Bolsos y Mochilas,27
156,Bombas y Presurización,Bombas y Presurización,32
269,Botas de Agua y Pesca,Calzado > Botas de Agua y Pesca,3
259,Cables y Conductores,Electricidad > Cables y Conductores,9
268,Calzado,Calzado,3
207,Calzado de Seguridad,Calzado de Seguridad,1092
217,Camisas y Blusas,ROPA DE TRABAJO > Camisas y Blusas,453
257,Canalización,Electricidad > Canalización,32
170,Carretillas y Transporte,Carretillas y Transporte,25
256,Cerámicas y Revestimientos,Construcción > Cerámicas y Revestimientos,33
173,Cerraduras Digitales,Cerraduras Digitales,4
162,Cerrajería y Herrajes,Cerrajería y Herrajes,177
235,Chalecos y Softshell,ROPA DE TRABAJO > Chalecos y Softshell,215
228,Chaquetas y Parkas,ROPA DE TRABAJO > Chaquetas y Parkas,619
262,Componentes,Electricidad > Componentes,19
241,Conexiones y Fittings,Gasfitería > Conexiones y Fittings,372
236,Construcción,Construcción,319
122,Control de Plagas,Control de Plagas,18
242,Delantales y Pecheras,ROPA DE TRABAJO > Delantales y Pecheras,125
250,Desagües y Sifones,Gasfitería > Desagües y Sifones,45
233,Desechables,EPP > Protección de Manos > Desechables,20
266,Dieléctrico,EPP > Protección de Manos > Dieléctrico,2
166,Dispensadores de Agua,Dispensadores de Agua,5
226,Electricidad,Electricidad,347
174,Electrónica y Conectividad,Electrónica y Conectividad,6
255,Enchufes e Interruptores,Electricidad > Enchufes e Interruptores,194
144,Envases y Dispensadores,Envases y Dispensadores,17
212,EPP,EPP,389
270,Equipos,Limpieza > Equipos,1
273,Ergonomía y Soporte Lumbar,EPP > Ergonomía y Soporte Lumbar,5
189,Escaleras y Andamios,Escaleras y Andamios,4
227,Extensiones y Alargadores,Electricidad > Extensiones y Alargadores,13
195,Extintores y Contra Incendios,Extintores y Contra Incendios,2
31,FERRETERÍA,FERRETERÍA,1403
112,Ferretería General,Ferretería General,2336
128,Fijaciones y Tornillos,Fijaciones y Tornillos,324
164,Filtración y Tratamiento de Agua,Filtración y Tratamiento de Agua,4
267,Filtros Respiratorios,EPP > Filtros Respiratorios,30
210,Gasfitería,Gasfitería,689
249,Grifería,Gasfitería > Grifería,91
225,Herramientas Eléctricas,FERRETERÍA > Herramientas Eléctricas,143
214,Herramientas Manuales,FERRETERÍA > Herramientas Manuales,615
146,Higiene y Sanitización,Higiene y Sanitización,8
147,Iluminación,Iluminación,128
261,Impermeabilización y Membranas,Construcción > Impermeabilización y Membranas,8
232,Implementos,Limpieza > Implementos,81
145,Izaje y Sujeción de Carga,Izaje y Sujeción de Carga,35
230,Limpieza,Limpieza,216
246,Llaves y Dados,FERRETERÍA > Herramientas Manuales > Llaves y Dados,217
126,Lubricantes y Químicos Automotrices,Lubricantes y Químicos Automotrices,64
245,Maderas y Tableros,Construcción > Maderas y Tableros,56
218,Mascotas,Mascotas,11
